Feeder_number ,Collection_Date,Absence_0_Presence_1 ,Feeder_Type ,,Absence (0)/Presence (1)
1,2/22/22 (DPI_0),1,Wood_coated ,,
2,2/22/22 (DPI_0),1,Wood,,
3,2/22/22 (DPI_0),1,Plastic_coated ,,
4,2/22/22 (DPI_0),1,Plastic ,,
5,2/22/22 (DPI_0),1,Plastic ,,
6,2/22/22 (DPI_0),1,Plastic_coated ,,
7,2/22/22 (DPI_0),1,Wood,,
8,2/22/22 (DPI_0),1,Wood_coated ,,
9,2/22/22 (DPI_0),1,Wood,,
10,2/22/22 (DPI_0),1,Wood_coated ,,
11,2/22/22 (DPI_0),1,Plastic ,,
12,2/22/22 (DPI_0),1,Plastic_coated ,,
1,2/23/22 (DPI_1),0,Wood_coated ,,
2,2/23/22 (DPI_1),0,Wood,,
3,2/23/22 (DPI_1),1,Plastic_coated ,,
4,2/23/22 (DPI_1),1,Plastic ,,
5,2/23/22 (DPI_1),0,Plastic ,,
6,2/23/22 (DPI_1),1,Plastic_coated ,,
7,2/23/22 (DPI_1),0,Wood,,
8,2/23/22 (DPI_1),0,Wood_coated ,,
9,2/23/22 (DPI_1),0,Wood,,
10,2/23/22 (DPI_1),0,Wood_coated ,,
11,2/23/22 (DPI_1),1,Plastic ,,
12,2/23/22 (DPI_1),1,Plastic_coated ,,
1,2/24/22 (DPI_2),0,Wood_coated ,,
2,2/24/22 (DPI_2),0,Wood,,
3,2/24/22 (DPI_2),0,Plastic_coated ,,
4,2/24/22 (DPI_2),0,Plastic ,,
5,2/24/22 (DPI_2),0,Plastic ,,
6,2/24/22 (DPI_2),0,Plastic_coated ,,
7,2/24/22 (DPI_2),0,Wood,,
8,2/24/22 (DPI_2),0,Wood_coated ,,
9,2/24/22 (DPI_2),0,Wood,,
10,2/24/22 (DPI_2),0,Wood_coated ,,
11,2/24/22 (DPI_2),1,Plastic ,,
12,2/24/22 (DPI_2),1,Plastic_coated ,,
1,2/25/22 (DPI_3),0,Wood_coated ,,
2,2/25/22 (DPI_3),0,Wood,,
3,2/25/22 (DPI_3),0,Plastic_coated ,,
4,2/25/22 (DPI_3),0,Plastic ,,
5,2/25/22 (DPI_3),0,Plastic ,,
6,2/25/22 (DPI_3),0,Plastic_coated ,,
7,2/25/22 (DPI_3),0,Wood,,
8,2/25/22 (DPI_3),0,Wood_coated ,,
9,2/25/22 (DPI_3),0,Wood,,
10,2/25/22 (DPI_3),0,Wood_coated ,,
11,2/25/22 (DPI_3),0,Plastic ,,
12,2/25/22 (DPI_3),0,Plastic_coated ,,
1,2/26/22 (DPI_4),0,Wood_coated ,,
2,2/26/22 (DPI_4),0,Wood,,
3,2/26/22 (DPI_4),0,Plastic_coated ,,
4,2/26/22 (DPI_4),0,Plastic ,,
5,2/26/22 (DPI_4),0,Plastic ,,
6,2/26/22 (DPI_4),0,Plastic_coated ,,
7,2/26/22 (DPI_4),0,Wood,,
8,2/26/22 (DPI_4),0,Wood_coated ,,
9,2/26/22 (DPI_4),0,Wood,,
10,2/26/22 (DPI_4),0,Wood_coated ,,
11,2/26/22 (DPI_4),0,Plastic ,,
12,2/26/22 (DPI_4),0,Plastic_coated ,,
1,2/27/22 (DPI_5),0,Wood_coated ,,
2,2/27/22 (DPI_5),0,Wood,,
3,2/27/22 (DPI_5),0,Plastic_coated ,,
4,2/27/22 (DPI_5),0,Plastic ,,
5,2/27/22 (DPI_5),0,Plastic ,,
6,2/27/22 (DPI_5),0,Plastic_coated ,,
7,2/27/22 (DPI_5),0,Wood,,
8,2/27/22 (DPI_5),0,Wood_coated ,,
9,2/27/22 (DPI_5),1,Wood,,
10,2/27/22 (DPI_5),0,Wood_coated ,,
11,2/27/22 (DPI_5),0,Plastic ,,
12,2/27/22 (DPI_5),1,Plastic_coated ,,
1,2/28/22 (DPI_6),0,Wood_coated ,,
2,2/28/22 (DPI_6),0,Wood,,
3,2/28/22 (DPI_6),0,Plastic_coated ,,
4,2/28/22 (DPI_6),0,Plastic ,,
5,2/28/22 (DPI_6),0,Plastic ,,
6,2/28/22 (DPI_6),0,Plastic_coated ,,
7,2/28/22 (DPI_6),0,Wood,,
8,2/28/22 (DPI_6),0,Wood_coated ,,
9,2/28/22 (DPI_6),0,Wood,,
10,2/28/22 (DPI_6),0,Wood_coated ,,
11,2/28/22 (DPI_6),0,Plastic ,,
12,2/28/22 (DPI_6),0,Plastic_coated ,,
1,3/1/22 (DPI_7),0,Wood_coated ,,
2,3/1/22 (DPI_7),0,Wood,,
3,3/1/22 (DPI_7),0,Plastic_coated ,,
4,3/1/22 (DPI_7),0,Plastic ,,
5,3/1/22 (DPI_7),0,Plastic ,,
6,3/1/22 (DPI_7),0,Plastic_coated ,,
7,3/1/22 (DPI_7),0,Wood,,
8,3/1/22 (DPI_7),0,Wood_coated ,,
9,3/1/22 (DPI_7),0,Wood,,
10,3/1/22 (DPI_7),0,Wood_coated ,,
11,3/1/22 (DPI_7),0,Plastic ,,
12,3/1/22 (DPI_7),0,Plastic_coated ,,
1,3/3/22 (DPI_9),0,Wood_coated ,,
2,3/3/22 (DPI_9),0,Wood,,
3,3/3/22 (DPI_9),0,Plastic_coated ,,
4,3/3/22 (DPI_9),0,Plastic ,,
5,3/3/22 (DPI_9),0,Plastic ,,
6,3/3/22 (DPI_9),0,Plastic_coated ,,
7,3/3/22 (DPI_9),0,Wood,,
8,3/3/22 (DPI_9),0,Wood_coated ,,
9,3/3/22 (DPI_9),0,Wood,,
10,3/3/22 (DPI_9),0,Wood_coated ,,
11,3/3/22 (DPI_9),0,Plastic ,,
12,3/3/22 (DPI_9),0,Plastic_coated ,,
1,3/5/22 (DPI_11),0,Wood_coated ,,
2,3/5/22 (DPI_11),0,Wood,,
3,3/5/22 (DPI_11),0,Plastic_coated ,,
4,3/5/22 (DPI_11),0,Plastic ,,
5,3/5/22 (DPI_11),0,Plastic ,,
6,3/5/22 (DPI_11),0,Plastic_coated ,,
7,3/5/22 (DPI_11),0,Wood,,
8,3/5/22 (DPI_11),0,Wood_coated ,,
9,3/5/22 (DPI_11),0,Wood,,
10,3/5/22 (DPI_11),0,Wood_coated ,,
11,3/5/22 (DPI_11),0,Plastic ,,
12,3/5/22 (DPI_11),0,Plastic_coated ,,
1,3/7/22 (DPI_13),0,Wood_coated ,,
2,3/7/22 (DPI_13),0,Wood,,
3,3/7/22 (DPI_13),0,Plastic_coated ,,
4,3/7/22 (DPI_13),0,Plastic ,,
5,3/7/22 (DPI_13),0,Plastic ,,
6,3/7/22 (DPI_13),0,Plastic_coated ,,
7,3/7/22 (DPI_13),0,Wood,,
8,3/7/22 (DPI_13),0,Wood_coated ,,
9,3/7/22 (DPI_13),0,Wood,,
10,3/7/22 (DPI_13),0,Wood_coated ,,
11,3/7/22 (DPI_13),0,Plastic ,,
12,3/7/22 (DPI_13),0,Plastic_coated ,,
1,3/14/22 (DPI_20),0,Wood_coated ,,
2,3/14/22 (DPI_20),0,Wood,,
3,3/14/22 (DPI_20),0,Plastic_coated ,,
4,3/14/22 (DPI_20),0,Plastic ,,
5,3/14/22 (DPI_20),0,Plastic ,,
6,3/14/22 (DPI_20),0,Plastic_coated ,,
7,3/14/22 (DPI_20),0,Wood,,
8,3/14/22 (DPI_20),0,Wood_coated ,,
9,3/14/22 (DPI_20),0,Wood,,
10,3/14/22 (DPI_20),0,Wood_coated ,,
11,3/14/22 (DPI_20),0,Plastic ,,
12,3/14/22 (DPI_20),0,Plastic_coated ,,
